trial_id,mode,functions_keyset,top_level_keys,accuracy
0,random,PASS,PASS,1/1
1,random,PASS,PASS,2/2
2,random,PASS,PASS,3/3
3,random,PASS,PASS,4/4
4,random,PASS,PASS,5/5
5,random,PASS,PASS,6/6
6,random,PASS,PASS,7/7
7,random,PASS,PASS,8/8
8,random,PASS,PASS,9/9
9,random,PASS,PASS,10/10
10,random,PASS,PASS,11/11
11,random,PASS,PASS,12/12
12,random,PASS,PASS,13/13
13,random,PASS,PASS,14/14
14,random,PASS,PASS,15/15
15,random,PASS,PASS,16/16
16,random,PASS,PASS,17/17
17,random,PASS,PASS,18/18
18,random,PASS,PASS,19/19
19,random,PASS,PASS,20/20
20,random,PASS,PASS,21/21
21,random,PASS,PASS,22/22
22,random,PASS,PASS,23/23
23,random,PASS,PASS,24/24
24,random,PASS,PASS,25/25
25,random,PASS,PASS,26/26
26,random,PASS,PASS,27/27
27,random,PASS,PASS,28/28
28,random,PASS,PASS,29/29
29,random,PASS,PASS,30/30
